file_id,label,label_int,split,dataset_name,audio_path
LA_train_0055_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0055_0000000.flac
LA_train_0017_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0017_0000000.flac
LA_train_0040_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0040_0000000.flac
LA_train_0057_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0057_0000000.flac
LA_train_0080_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0080_0000000.flac
LA_train_0008_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0008_0000000.flac
LA_train_0051_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0051_0000000.flac
LA_train_0054_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0054_0000000.flac
LA_train_0020_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0020_0000000.flac
LA_train_0067_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0067_0000000.flac
LA_train_0026_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0026_0000000.flac
LA_train_0045_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0045_0000000.flac
LA_train_0014_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0014_0000000.flac
LA_train_0077_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0077_0000000.flac
LA_train_0004_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0004_0000000.flac
LA_train_0018_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0018_0000000.flac
LA_train_0039_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0039_0000000.flac
LA_train_0009_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0009_0000000.flac
LA_train_0066_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0066_0000000.flac
LA_train_0007_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0007_0000000.flac
LA_train_0037_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0037_0000000.flac
LA_train_0073_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0073_0000000.flac
LA_train_0059_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0059_0000000.flac
LA_train_0047_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0047_0000000.flac
LA_train_0079_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0079_0000000.flac
LA_train_0016_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0016_0000000.flac
LA_train_0028_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0028_0000000.flac
LA_train_0042_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0042_0000000.flac
LA_train_0027_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0027_0000000.flac
LA_train_0049_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0049_0000000.flac
LA_train_0025_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0025_0000000.flac
LA_train_0044_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0044_0000000.flac
LA_train_0078_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0078_0000000.flac
LA_train_0058_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0058_0000000.flac
LA_train_0012_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0012_0000000.flac
LA_train_0033_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0033_0000000.flac
LA_train_0076_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0076_0000000.flac
